,bottom_active_chlorophyll_a_g_l,bottom_ammonium_mg_l,bottom_bacteria_per_c_c_1909,bottom_coliform_log_no_ml,bottom_conductivity_s_m,bottom_depth_ysi_ft,bottom_dissolved_organic_carbon_ysi_mg_l,bottom_enterococci_bacteria_cells_100ml,bottom_fecal_coliform_bacteria_cells_100ml,bottom_five_day_biochemical_oxygen_demand_mg_l,bottom_fluorometer_mg_m3,bottom_nitrate_nitrite_mg_l,bottom_ortho_phosphorus_mg_l,bottom_pcb_plate_count_thous_ml,bottom_ph,bottom_salinity_psu,bottom_sample_depth_ft,bottom_sample_par_ue_s_ue_s_m2,bottom_sample_salinity_ysi_psu,bottom_sample_temperature_c,bottom_sample_temperature_ysi_c,bottom_sigma_t_kg_m3,bottom_silica_mg_l,bottom_total_kjeldhal_nitrogen_mg_l,bottom_total_phosphorus_mg_l,bottom_total_suspended_solid_mg_l,bottom_turbidity_ysi_nephelometric_turbidity_units,chlorophyll_bottom_sample_field_u_l_ysi,chlorophyll_top_sample_field_u_l_ysi,ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l,ctd_conductivity_temperature_depth_profiler_ph_bottom_sample,ctd_conductivity_temperature_depth_profiler_ph_top_sample,ctd_conductivity_temperature_depth_profiler_top_dissolved_oxygen_mg_l,current_direction_current_direction,current_speed_knot,duplicate_sample,enterococcus_bottom_sample_less_than_or_greater_than_result,enterococcus_top_sample_less_than_or_greater_than_result,fecal_coliform_bottom_sample_less_than_or_greater_than_result,fecal_coliform_top_sample_less_than_or_greater_than_result,lat,light_trans_transparency_bottom_sample,light_trans_transparency_top_sample,long,oakwood_bod_bottom_sample_mg_l,oakwood_bod_top_sample_mg_l,oxidation_reduction_potential_mv_bottom_sample,oxidation_reduction_potential_mv_top_sample,percentage_o2_saturation_bottom_sample,percentage_o2_saturation_top_sample,sample_date,sample_time,sampling_comment,sampling_location,sea_state,secchi_depth_ft,site_actual_depth_ft,top_active_chlorophyll_a_g_l,top_ammonium_mg_l,top_bacteria_per_c_c_1909,top_bottom_coliform_cells_100_ml,top_coliform_log_no_ml,top_conductivity_s_m,top_dissolved_organic_carbon_mg_l,top_dissolved_organic_carbon_ysi_mg_l,top_enterococci_bacteria_cells_100ml,top_fecal_coliform_bacteria_cells_100ml,top_five_day_biochemical_oxygen_demand_mg_l,top_fluorometer_mg_m3,top_nitrate_nitrite_mg_l,top_ortho_phosphorus_mg_l,top_pcb_plate_count_thous_ml,top_ph,top_salinity_psu,top_sample_depth_ft,top_sample_depth_ysi_ft,top_sample_par_ue_s_m2,top_sample_photosysthetically_active_radiation_reference_400_700nm_light_ue_s,top_sample_salinity_ysi_psu,top_sample_temperature_c,top_sample_temperature_ysi_c,top_sigma_t_kg_m3,top_silica_mg_l,top_total_coliform_cells_100_ml,top_total_kjeldhal_nitrogen_mg_l,top_total_organic_carbon_mg_l,top_total_suspended_solid_mg_l,top_turbidity_nephelometric_turbidity_units,total_phosphorus_mg_l,type,weather_condition_dry_or_wet,wind_direction_wind_direction,wind_speed_mph,winkler_method_bottom_dissolved_oxygen_mg_l,winkler_method_top_dissolved_oxygen_mg_l,SITE,DESCRIPTION,LATITUDE,LONGITUDE
13,0.0,0.0,0.0,0.0,3.66,0.0,0.0,0.0,0.0,0.0,8.3492,0.0,0.0,0.0,7.39,23.27,39.0,0.0,0.0,24.71,0.0,14.58,0.0,0.0,0.0,10.0,0.0,0.0,0.0,4.57,7.55,7.58,4.79,0,LW SLK,0,0,0,0,0,40.641167,68.4,62.74,-74.153,0.0,0.0,222.448,222.724,62.96,65.94,2012-08-01T00:00:00.000,2:02 PM,0,K2,1,2.5,37.0,2.5,0.438,0.0,0,0.0,3.58,4.08,0.0,131,370,0.0,10.6871,0.44,0,0.0,7.4,22.61,3.0,0.0,375.65,347.02,0.0,24.88,0.0,14.05,1.69,0,0.795,0.0,8.0,0.0,0.207,Permanent,Wet,SW,3,4.87,5.1,K2,Shooters Island,-74.153,40.641167
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,0.0,0.0,0.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,0,0,0,0,0,0,40.641167,0.0,0.0,-74.153,1.2,1.3,0.0,0.0,0.0,0.0,1984-06-14T00:00:00.000,10:42 AM,0,K2,0,0.0,0.0,0.0,0.0,0.0,4000,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,17.2,0.0,0.0,0.0,0.0,0.0,21.1,0.0,0.0,0.0,23000,0.0,0.0,0.0,0.0,0.0,Permanent,unknown,0,0,5.8,5.5,K2,Shooters Island,-74.153,40.641167
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,0.0,0.0,0.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,0,0,0,0,0,0,40.641167,0.0,0.0,-74.153,1.2,1.3,0.0,0.0,0.0,0.0,1984-06-14T00:00:00.000,10:42 AM,0,K2,0,0.0,0.0,0.0,0.0,0.0,4000,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,17.2,0.0,0.0,0.0,0.0,0.0,21.1,0.0,0.0,0.0,23000,0.0,0.0,0.0,0.0,0.0,Permanent,unknown,0,0,5.8,5.5,K2,Shooters Island,-74.153,40.641167
16,0.0,0.0,0.0,0.0,3.36,0.0,0.0,0.0,0.0,0.0,5.2526,0.0,0.0,0.0,7.32,21.1,33.0,0.0,0.0,24.83,0.0,12.93,0.0,0.0,0.0,4.4,0.0,0.0,0.0,4.39,8.41,8.38,4.57,E,1,0,0,0,0,E,40.641167,0.0,0.0,-74.153,0.0,0.0,92.987,96.445,59.93,62.69,2009-08-26T00:00:00.000,2:43 PM,0,K2,1,5.0,36.0,4.2,0.349,0.0,0,0.0,3.18,5.0,0.0,3,28,0.0,8.2151,0.408,0,0.0,7.33,19.47,3.0,0.0,137.92,2142.5,0.0,25.75,0.0,11.43,1.96,0,0.88,0.0,3.6,0.0,0.17,Permanent,Dry,W,12,4.47,4.5,K2,Shooters Island,-74.153,40.641167
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,0,0,0,0,0,0,40.641167,0.0,0.0,-74.153,0.6,0.8,0.0,0.0,0.0,0.0,1985-07-16T00:00:00.000,12:02 PM,0,K2,0,0.0,0.0,0.0,0.0,0.0,17000,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,22000,0.0,0.0,0.0,0.0,0.0,Permanent,unknown,0,0,5.0,5.4,K2,Shooters Island,-74.153,40.641167
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Flood,0,0,0,0,0,0,40.606167,0.0,0.0,-74.0455,0.0,0.0,0.0,0.0,0.0,0.0,1909-07-16T00:00:00.000,4:10 PM,0,N8,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Permanent,unknown,0,0,0.0,4.45,N8,The Narrows,-74.0455,40.606167
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6,0.0,0.0,0.0,20.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0,0,0,0,0,40.606167,0.0,0.0,-74.0455,4.0,4.9,0.0,0.0,0.0,0.0,1968-07-30T00:00:00.000,12:50 PM,0,N8,0,0.0,0.0,0.0,0.0,0.0,79000,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,21.1,0.0,0.0,0.0,33000,0.0,0.0,0.0,0.0,0.0,Permanent,unknown,0,0,6.7,6.8,N8,The Narrows,-74.0455,40.606167
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,29.05,0.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0,0,0,0,0,40.606167,0.0,0.0,-74.0455,0.0,0.0,0.0,0.0,0.0,0.0,1966-07-26T00:00:00.000,12:50 PM,0,N8,0,0.0,90.0,0.0,0.0,0.0,1100,0.0,0.0,0.0,0.0,0,0,3.0,0.0,0.0,0,0.0,0.0,27.65,0.0,0.0,0.0,0.0,0.0,23.3,0.0,0.0,0.0,1100,0.0,0.0,0.0,0.0,0.0,Permanent,unknown,0,0,4.9,4.8,N8,The Narrows,-74.0455,40.606167
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,S,2,0,0,0,0,0,40.606167,0.0,0.0,-74.0455,0.0,0.0,0.0,0.0,0.0,0.0,2011-06-02T00:00:00.000,12:30 PM,0,N8,2,2.5,91.0,6.7,0.194,0.0,0,0.0,0.0,3.5,8.37,1,26,0.0,0.0,0.206,0,0.0,7.63,0.0,0.0,0.0,0.0,0.0,17.6,0.0,18.29,0.0,1.57,0,0.64,0.0,4.0,8.8,0.089,Permanent,Dry,W,18,0.0,0.0,N8,The Narrows,-74.0455,40.606167
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,0.2,0,0,0,0,0,40.606167,0.0,0.0,-74.0455,0.0,0.0,0.0,0.0,0.0,0.0,2008-10-22T00:00:00.000,12:17 PM,0,N8,3,4.5,90.0,9.51,0.404,0.0,0,0.0,0.0,2.9,0.0,1,18,0.0,0.0,0.496,0.129,0.0,7.57,0.0,0.0,0.0,0.0,0.0,23.9,0.0,15.1,0.0,1.17,0,1.28,0.0,9.4,0.0,0.168,Permanent,Dry,N,11,0.0,9.45,N8,The Narrows,-74.0455,40.606167
23,0.0,0.0,0.0,0.0,4.29,0.0,0.0,0.0,0.0,0.0,8.5434,0.0,0.0,0.0,7.7,29.04,88.0,0.0,0.0,22.67,0.0,19.51,0.802,0.0,0.0,27.0,0.0,0.0,0.0,5.85,0.0,0.0,6.1,N,0.9,0,0,<,0,0,40.606167,64.07,76.4,-74.0455,0.0,0.0,218.486,226.1,80.13,83.08,2015-08-11T00:00:00.000,3:08 PM,0,N8,1,4.0,92.0,0.0,0.356,0.0,0,0.0,3.97,2.74,0.0,2,42,0.0,5.5589,0.18,0,0.0,7.55,26.37,3.0,0.0,3232.3,0.0,0.0,23.2,0.0,17.35,1.122,0,0.591,0.0,27.0,0.0,0.096,Permanent,Wet,SSW,8,6.14,6.36,N8,The Narrows,-74.0455,40.606167
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.7,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Flood,0,0,0,0,0,0,40.606167,0.0,0.0,-74.0455,0.0,0.0,0.0,0.0,0.0,0.0,1913-02-18T00:00:00.000,3:25 PM,0,N8,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Permanent,unknown,0,0,0.0,0.0,N8,The Narrows,-74.0455,40.606167
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,7.79,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0,0,0,0,0,40.606167,0.0,0.0,-74.0455,0.0,0.0,0.0,0.0,0.0,0.0,1996-05-07T00:00:00.000,2:24 PM,0,N8,2,3.0,80.0,12.6,0.293,0.0,0,0.0,0.0,0.0,0.0,0,0,1.2,0.0,0.35,0.05,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.637,0.0,19.0,0.0,0.073,Permanent,unknown,E,15,10.03,9.7,N8,The Narrows,-74.0455,40.606167
26,0.0,0.0,0.0,0.0,37.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.43,24.95,72.2,0.0,0.0,22.58,0.0,16.45,0.0,0.0,0.0,16.8,0.0,0.0,0.0,2.76,0.0,0.0,3.16,S,0,0,0,0,0,0,40.606167,21.8,6.33,-74.0455,0.0,0.0,0.0,0.0,36.98,42.29,2000-08-31T00:00:00.000,4:00 PM,0,N8,1,7.0,72.0,4.26,0.327,0.0,0,0.0,34.05,3.36,0.0,0,25,0.0,0.0,0.413,0,0.0,7.33,22.13,3.3,0.0,0.0,0.0,0.0,23.38,0.0,14.1,1.74,0,0.627,0.0,7.4,0.0,0.152,Permanent,Dry,SE,14,5.72,5.91,N8,The Narrows,-74.0455,40.606167
